Protein,Layer
Q7RTT4,11
Q7RTU9,10
Q86UL3,12
Q86XP0,8
Q8IWN7,11
Q8IYT2,10
Q8IZV5,10
Q8N441,6
Q8N8G2,11
Q8N8R3,6
Q8N9U0,10
Q8NBM4,10
Q8NEX9,10
Q8NFU5,10
Q8TB72,10
Q8WVN6,10
Q92990,10
Q96B54,8
Q96BY7,10
Q96QF0,11
Q96QV6,10
Q9BU89,26
Q9BW91,10
Q9BYM8,10
Q9BYV2,16
Q9BZQ4,12
Q9GZK6,10
Q9H6R6,10
Q9H8K7,10
Q9HB09,12
Q9NVW2,11
Q9NWY4,14
Q9NZC7,5
Q9UBC3,10
Q9UI72,14
Q9UJ78,10
Q9UKY7,16
Q9UMX0,11
Q9UPM8,10
Q9Y328,10
Q9Y5G3,10
Q9Y5Z6,10
A0A087WW49,10
A0A1B0GUC4,10
A6NEM1,14
A6NP61,10
C9JL84,21
O15235,12
O43306,9
O75335,16
O76050,10
O95994,10
P01308,10
P01704,10
P02747,10
P04350,10
P06307,13
P0C7P0,8
P15144,10
P17342,10
P17612,6
P22735,10
P28356,8
P30273,11
P30559,10
P35249,10
P40197,11
P49759,6
P50613,6
P54922,11
P68371,10
Q06416,8
Q09328,8
Q13216,8
Q13901,10
Q14185,10
Q14929,16
Q15773,16
Q2VWP7,10
Q3B820,12
Q49AR2,12
Q4G0S4,10
Q53HC5,10
Q5JVF3,11
Q5T5P2,10
Q5VZI3,10
Q66K89,2
Q68DK7,11
Q6NSZ9,10
Q6NVV9,10
Q6NZ63,10
Q6P3X3,10
Q6P4E1,18
Q6UXN9,14
Q6ZU15,9
Q70CQ2,9
Q86TE4,2
Q86TU7,13
Q86WP2,11
Q8IXX5,10
Q8IZD2,10
Q8N414,11
Q8N594,10
Q8N944,13
Q8N9B8,10
Q8N9S9,11
Q8NAU1,10
Q8NC26,8
Q8ND07,10
Q8NGP0,10
Q8NH53,10
Q92824,10
Q96A49,10
Q96B21,10
Q96CK0,10
Q96D70,10
Q96G01,10
Q96N16,32
Q99766,10
Q99873,9
Q9BR10,11
Q9BR84,6
Q9BRR8,10
Q9BTV6,11
Q9BV73,25
Q9BZG1,10
Q9H222,10
Q9H307,14
Q9H3R2,14
Q9H8Y5,13
Q9HD23,10
Q9NQ34,10
Q9NX74,10
Q9NXI6,11
Q9UGJ0,10
Q9UHD0,10
Q9UKX2,9
Q9ULK2,11
Q9Y2V0,10
Q9Y3A4,16
Q9Y3R0,8
Q9Y4A9,10
A0A087X0K7,10
A0A0B4J276,10
A0A0B4J2B8,10
A0A0C4DH38,10
A0A1B0GUA9,16
A0A1W2PQ73,10
B3GLJ2,10
O15427,10
O43924,12
O75027,10
O75715,10
O76074,10
O95873,11
P01130,10
P01591,19
P02818,21
P03372,10
P04201,10
P04278,10
P04430,10
P05166,10
P05186,10
P0C7A2,11
P0CF74,10
P0DPD7,10
P0DTE5,10
P10696,10
P11234,10
P19086,10
P28325,10
P31689,12
P34896,10
P35557,10
P38571,10
P51553,10
P78524,10
P83436,11
Q02505,10
Q13825,10
Q14005,8
Q14397,10
Q15369,11
Q16568,9
Q2M3A8,11
Q2NL82,11
Q32M45,13
Q4V9L6,24
Q5H8A3,10
Q5T6X4,10
Q5VTT5,10
Q5VUY0,10
Q5VYY2,10
Q6IF36,10
Q6UW15,10
Q6UX40,11
Q6ZMC9,10
Q7RTU0,10
Q7Z5V6,10
Q7Z6W1,16
Q86UW2,10
Q86WD7,10
Q86WR0,14
Q8N5H7,10
Q8N6L0,7
Q8N782,16
Q8NFM4,9
Q8TE99,10
Q8WXB4,2
Q8WXQ3,10
Q92535,11
Q92766,5
Q92889,10
Q93099,10
Q96DU9,10
Q96FI4,10
Q99689,11
Q99757,10
Q9BQ83,10
Q9BQE3,10
Q9BTX3,14
Q9BV68,11
Q9C0D4,8
Q9H299,10
Q9H2P0,11
Q9H920,10
Q9H977,5
Q9H9Y4,10
Q9NQZ7,15
Q9NSB4,10
Q9NSV4,10
Q9NW08,14
Q9NZ63,11
Q9UBK5,11
Q9UF12,10
Q9UHI8,8
Q9UKA9,10
Q9ULP9,10
Q9UNH5,6
Q9Y3B4,10
Q9Y587,14
A0A075B6Z2,20
A0A590UK83,10
A0A804HID5,23
A4D1U4,10
A6NM11,16
A6NMS7,16
B7U540,14
O00592,10
O14529,8
O43508,10
O43781,6
O75177,13
O75794,12
O95996,6
P01185,10
P08670,11
P0CK96,10
P0DMR1,10
P13051,10
P13569,10
P26232,11
P28906,14
P30939,10
P36957,16
P40925,10
P42685,6
P49763,10
P49902,12
P49914,10
P56470,10
Q02487,10
Q04206,10
Q08828,9
Q13105,10
Q13304,10
Q13641,10
Q14181,10
Q14469,14
Q15633,10
Q15762,6
Q2M2D7,10
Q2UY09,11
Q4G0W2,10
Q52LC2,10
Q5SNV9,9
Q5VSY0,15
Q5VZE5,10
Q6NXP0,7
Q6P597,6
Q6PJT7,11
Q6S5L8,10
Q6UX82,10
Q6UXH1,19
Q6ZMJ4,11
Q6ZQX7,20
Q71RG6,9
Q7Z3C6,11
Q86SJ2,10
Q86SM8,10
Q86VZ4,10
Q86WN1,10
Q8IUR7,10
Q8N141,5
Q8NGU4,10
Q8NH93,10
Q8TDV0,10
Q8TE60,8
Q8WXS3,14
Q8WY22,32
Q92530,11
Q92854,10
Q96CF2,17
Q96GV9,11
Q96L11,14
Q9BQS8,14
Q9BSG5,10
Q9BUH6,11
Q9BW85,11
Q9BWN1,17
Q9BYH8,11
Q9H0M4,10
Q9H0N0,10
Q9H171,8
Q9H213,10
Q9H339,10
Q9H3F6,10
Q9H816,10
Q9HCU5,5
Q9NTU4,10
Q9NUQ7,10
Q9NVI7,10
Q9NWT8,11
Q9P0J0,10
Q9P0K7,32
Q9P1A2,11
Q9UBK9,12
Q9UM21,10
Q9UPY8,11
Q9UQD0,7
Q9Y5F2,10
A0A0A6YYC5,10
A0A0U1RQS6,10
A0A1B0GTC6,10
A0A1B0GUA7,11
A0A1B0GX51,10
A3KFT3,10
A6NDB9,11
A6NFC9,10
A6NI87,10
A8MZ59,10
E9PRG8,14
O00212,10
O00470,8
O15523,6
O60568,10
O60636,10
O60674,6
O75306,11
P01160,10
P01619,10
P0DP23,10
P0DUQ1,10
P20783,10
P22090,12
P27986,10
P33032,10
P54803,10
P59991,2
Q01167,10
Q04323,12
Q0P5N6,10
Q0VDD5,21
Q10586,11
Q12948,10
Q12982,10
Q147X3,7
Q15561,10
Q16602,10
Q1L5Z9,10
Q2T9L4,21
Q2VWA4,11
Q4VX76,10
Q53ET0,14
Q5H9U9,10
Q5J5C9,10
Q5T7M9,11
Q5XKL5,10
Q6DRA6,16
Q6IPM2,10
Q6L8G5,12
Q6PRD1,9
Q6UX34,11
Q6WQI6,11
Q6ZN19,5
Q86TM6,10
Q8IWF9,11
Q8N5P1,10
Q8N682,11
Q8NBI2,11
Q8NBS3,10
Q8NCG5,10
Q8NDY4,23
Q92522,10
Q92619,10
Q92688,6
Q92754,13
Q92838,10
Q93062,10
Q96AH0,10
Q96J01,8
Q96Q07,10
Q96S86,10
Q99578,10
Q99608,10
Q99717,10
Q99895,10
Q9BU02,10
Q9BWQ6,11
Q9BYG7,9
Q9BYT5,27
Q9BZD7,14
Q9C0D0,11
Q9GZV3,11
Q9H207,10
Q9H4P4,10
Q9H568,10
Q9H7Z7,10
Q9NTZ6,10
Q9NX63,10
Q9NY12,12
Q9P1P5,10
Q9P270,11
Q9UBB6,10
Q9UBM4,6
Q9UIG8,10
Q9UJW7,5
Q9UK39,10
Q9UPN4,9
Q9Y3N9,10
Q9Y6H3,10
A0A075B6W9,17
A0A0C5B5G6,19
A0A0J9YVP2,20
A0A1B0GVH7,9
A0A6Q8PHA8,20
A0A9L9P0W8,16
A6NCE7,11
A6NFE3,10
A6NGY3,13
O00148,6
O14753,6
O15239,10
O43934,16
O60312,10
O60603,9
O60825,10
O75553,10
O75575,10
O95453,10
O95741,10
P01282,19
P01350,13
P01903,10
P06132,10
P07942,10
P0CJ72,14
P16278,11
P16619,10
P21589,10
P30260,6
P31946,10
P35790,8
P38606,10
P47989,10
P52732,8
P53355,5
P58170,10
P60763,10
Q00888,10
Q08AI6,16
Q0Z7S8,13
Q12933,13
Q13009,10
Q13247,10
Q14409,10
Q15102,10
Q15669,10
Q15916,10
Q27J81,10
Q3LI67,20
Q5BLP8,10
Q5FYB0,10
Q5T1J5,10
Q5TGU0,16
Q5VTA0,10
Q6E0U4,29
Q6P1L6,5
Q6P5X5,11
Q6Q759,9
Q6W349,21
Q7Z417,13
Q86SP6,11
Q8IWB7,11
Q8IXV7,10
Q8IYB7,10
Q8N1V8,21
Q8N660,11
Q8N6I4,12
Q8N8Q8,10
Q8ND04,10
Q8NFR9,10
Q8NG92,10
Q8NGF6,10
Q8NH55,10
Q8NH83,10
Q8TCT7,10
Q8TD30,10
Q96EB6,10
Q96G03,10
Q96NX5,6
Q99523,10
Q99880,10
Q9BUZ4,13
Q9BVH7,10
Q9H069,14
Q9H1C3,8
Q9H329,10
Q9HAU0,10
Q9NP62,13
Q9NSG2,13
Q9NVM4,9
Q9UIW2,10
Q9UK08,11
Q9ULJ7,5
Q9UMY4,10
Q9UNI6,10
Q9UQ80,9
Q9Y3T9,10
Q9Y5E2,10
Q9Y6N6,14
A0A096LNP1,10
A0A0J9YWX3,2
A6NDU8,9
A6NFU0,10
A8K855,10
H3BMG3,15
H3BQB6,11
O00562,10
O00585,10
O15105,12
O15231,10
O15344,16
O43776,10
O60259,10
O94927,14
O95602,10
O95625,10
O96024,10
P04054,16
P05106,8
P05556,10
P06400,11
P09661,6
P0DO97,14
P0DTL6,10
P10645,21
P14859,8
P23280,12
P24001,17
P28370,10
P29508,16
P35637,12
P35813,10
P42025,10
P57057,10
P60033,10
P63165,12
P78347,21
Q00G26,10
Q02962,10
Q06609,10
Q12887,11
Q13761,10
Q13907,11
Q14165,10
Q15323,10
Q2M3M2,11
Q53H96,16
Q58EX7,10
Q5JR59,17
Q5MNV8,9
Q5SW79,10
Q5T1A1,11
Q5VZK9,11
Q6P1R3,10
Q6XR72,10
Q6YN16,10
Q6ZNA4,10
Q6ZR85,14
Q7LBE3,10
Q7RTV2,16
Q86SE5,10
Q86SQ9,10
Q86SX6,10
Q86TL0,14
Q8IUR0,16
Q8IXB1,10
Q8IXQ9,10
Q8N4B1,10
Q8NFQ5,11
Q8NGB2,10
Q8NGS1,10
Q8NGY2,10
Q8NH57,10
Q8TC17,10
Q8TEL6,10
Q8WUP2,10
Q92871,10
Q96F83,14
Q96KR1,8
Q96NA2,11
Q96PS1,21
Q99487,10
Q9BQ70,11
Q9BXN1,6
Q9BZ71,10
Q9NS00,10
Q9NTQ9,10
Q9NU19,16
Q9NZP8,10
Q9NZR4,8
Q9P1Q0,11
Q9P2I0,10
Q9UKM7,10
Q9UKX7,10
Q9UP83,10
Q9Y2M2,17
Q9Y3Y4,10
Q9Y548,11
Q9Y6L6,10
A0A1B0GW35,10
A6NDL8,10
A6NER0,16
A6NGQ2,10
A8MXV4,10
B2RXF5,10
F5GYI3,11
O14523,10
O14967,10
O15438,14
O15479,10
O75369,16
O75462,10
O75683,17
O75880,10
O95140,9
O95292,11
O95857,10
O95932,10
O96004,10
P02461,16
P05109,10
P07550,10
P09972,6
P0CL82,10
P0DTL5,21
P10145,10
P10911,11
P11277,9
P14555,16
P19784,6
P24821,16
P25942,9
P35240,10
P43320,10
P48995,10
P49755,10
P51398,10
P51810,10
P59074,17
P61077,10
Q04609,10
Q14118,10
Q14155,10
Q14692,10
Q15506,10
Q16630,10
Q2M3C7,10
Q2M3W8,16
Q30KQ4,10
Q32MH5,10
Q3MIS6,16
Q4G0U5,10
Q5SQ64,6
Q5T7V8,11
Q5UIP0,13
Q68DD2,10
Q6EMK4,11
Q6NT76,8
Q6ZS10,10
Q86XR7,10
Q8IU89,10
Q8IWF6,10
Q8IWS0,11
Q8N488,11
Q8N960,10
Q8N966,10
Q8NG94,10
Q8NHR9,10
Q8TBC3,11
Q8TBG4,6
Q92805,16
Q96C74,10
Q96ES7,10
Q96H15,10
Q96IK0,11
Q96IP4,10
Q96P67,10
Q96RI1,10
Q99677,10
Q9BVM2,10
Q9BXA7,6
Q9GZN1,10
Q9GZV8,22
Q9GZY8,11
Q9H501,10
Q9H6F5,11
Q9HC38,10
Q9HCL2,10
Q9NPB1,16
Q9NQG7,10
Q9NRP0,21
Q9NS87,8
Q9NY91,11
Q9NYW6,10
Q9P1Z3,11
Q9Y2B5,16
Q9Y2X3,10
Q9Y4A5,9
Q9Y6A2,11
A0A075B6N1,10
A0A0C4DH25,10
A0A1B0GVQ0,27
A0A804HJT0,11
A2PYH4,10
A4D2P6,10
A6NF83,12
A6NM43,10
A8MTB9,10
A8MVU1,9
B1ATL7,20
B2RTY4,10
O00712,16
O14775,8
O43301,10
O75044,10
O75525,12
O95825,11
P00797,10
P01344,10
P02008,17
P04004,10
P05387,12
P07205,10
P08727,10
P0CV98,10
P0DMR3,14
P15918,14
P20023,8
P21709,6
P27144,10
P29728,9
P31994,10
P32298,6
P35711,11
P36897,6
P39210,10
P42701,10
P48454,10
P49754,10
P52790,15
P60827,12
P78552,10
Q00887,10
Q13061,12
Q13112,13
Q13183,11
Q13505,16
Q15714,11
Q16787,10
Q3KQV3,5
Q52M58,14
Q5VSG8,10
Q6IEE8,10
Q6PJE2,10
Q6UWF3,19
Q6UWJ8,11
Q6UXB2,21
Q86V97,16
Q86Y82,10
Q8IUA0,10
Q8IVN8,10
Q8IWU5,10
Q8IX29,12
Q8IXN7,10
Q8N100,14
Q8NA82,11
Q8TD86,10
Q8WUD6,10
Q8WYA1,10
Q92738,10
Q92908,10
Q96A09,10
Q96FZ5,12
Q96HP4,6
Q96JD6,10
Q96MF6,10
Q96Q80,11
Q96RT7,10
Q96SE7,11
Q96TA1,10
Q99435,8
Q99618,16
Q99679,10
Q99798,10
Q9BW83,10
Q9BXQ6,11
Q9BYP7,6
Q9BZE4,9
Q9C075,10
Q9C0D2,12
Q9H7L2,10
Q9NUQ6,16
Q9NX38,11
Q9P0P0,7
Q9UJU5,10
Q9UN76,11
Q9Y2T1,10
Q9Y4W6,10
Q9Y5Y3,10
A0A087WXS9,16
A0A0B4J1V7,10
A6NCL2,6
A6NF01,21
A8MTI9,10
D6RGH6,11
O14990,10
O15534,11
O75508,9
O95685,10
P00734,10
P01270,10
P01772,10
P01850,10
P0CJ69,14
P0CJ88,8
P0DMM9,10
P0DN25,10
P11161,8
P11308,10
P16562,10
P18206,11
P29375,8
P33992,8
P34897,10
P41208,10
P42694,5
P43628,10
P58294,10
P59095,16
P61201,11
P61366,21
P61576,12
P63261,10
P78329,11
P78352,8
Q00796,10
Q08462,9
Q08AF3,10
Q0D2K2,16
Q0D2K5,6
Q13158,10
Q14258,16
Q14563,10
Q15063,10
Q15434,10
Q16633,11
Q5HYJ3,11
Q5MIZ7,10
Q5MJ07,8
Q6PF05,6
Q6PGP7,6
Q6UXB0,10
Q6VVB1,10
Q6W0C5,14
Q6ZU67,11
Q71U36,10
Q7RTP0,10
Q7Z698,10
Q86VH4,10
Q86W50,10
Q8IU68,10
Q8IY37,14
Q8IYB5,22
Q8IZ02,6
Q8N0U4,10
Q8N9M5,12
Q8NDH3,10
Q8NEE8,6
Q8NG78,10
Q8NGH7,10
Q8TE82,13
Q8TF65,11
Q92692,10
Q96AY3,7
Q96D96,10
Q96JX3,6
Q96L03,10
Q96S19,10
Q96S66,11
Q9BQ52,10
Q9BX67,10
Q9H490,13
Q9HB63,10
Q9NR34,10
Q9NTJ4,10
Q9NUQ9,11
Q9NVR0,10
Q9NZG7,10
Q9P2S2,10
Q9UBC5,10
Q9UGV2,6
Q9UHY7,10
Q9UJL9,16
Q9ULV8,10
Q9Y2X7,11
Q9Y336,10
Q9Y520,11
Q9Y5H6,10
A0A140TA64,20
A0A1B0GVN3,2
A0A1W2PQD8,10
A6NFZ4,14
A6NGB7,11
A6NH52,11
A6NJZ7,13
A6NNB3,10
A7E2U8,14
A8CG34,21
O00160,10
O00186,10
O00330,9
O00479,20
O00541,10
O14773,10
O15511,10
O43374,10
O60762,10
O75382,16
O75838,9
O95072,10
P00568,10
P01213,21
P05997,16
P0CI25,16
P13667,10
P15088,10
P21283,11
P22301,10
P22570,10
P34972,10
P35219,10
P43629,10
P49419,10
P50221,8
P54619,10
P57729,10
P63208,9
Q02386,5
Q0VAK6,10
Q12788,11
Q13263,11
Q13351,6
Q13670,10
Q14207,9
Q15021,11
Q15612,10
Q15695,10
Q6DD87,5
Q6PHW0,10
Q6U841,10
Q6UW60,10
Q6UXH0,2
Q6ZN66,11
Q7Z7K0,10
Q8IXL6,9
Q8N3T6,10
Q8NAA4,8
Q8NAX2,11
Q8NCQ2,20
Q8NDL9,10
Q8NFV5,11
Q8NGK6,10
Q8NGN5,10
Q8TAT5,10
Q8TBB5,10
Q8TD07,12
Q8TDE3,10
Q8WV93,10
Q8WZ59,10
Q969S9,10
Q96AG3,11
Q96G61,10
Q96J86,10
Q96LB3,14
Q96ND0,11
Q96RP3,12
Q96RY7,5
Q9BQ50,10
Q9BQC3,10
Q9BXM0,8
Q9BXU0,12
Q9BY31,16
Q9H0K6,10
Q9H1B4,10
Q9H324,8
Q9H467,14
Q9H8P0,11
Q9HCM2,10
Q9NS91,12
Q9NZL3,5
Q9NZV8,14
Q9P0M2,10
Q9UK32,6
Q9ULD9,11
Q9Y263,13
Q9Y4E5,16
Q9Y4P9,11
A0A075B702,0
A0A0C4DH36,10
A0A1B0GVM2,10
A8MVW0,16
H7C350,11
O00515,10
O15304,14
O43463,9
O43482,10
O60356,20
O94811,10
O94892,16
O95872,10
P01860,10
P02458,16
P02795,22
P04844,10
P07947,6
P0CG12,2
P0DPE3,10
P0DPF5,21
P12268,11
P17813,10
P20794,6
P23229,10
P25788,10
P30304,10
P41181,10
P47883,10
P49356,6
P51606,11
P51686,10
P51965,10
P52815,10
P56945,10
P60372,2
P60508,11
P78325,8
P80511,10
Q00597,14
Q03169,10
Q05923,6
Q13241,10
Q15915,8
Q16322,14
Q16647,15
Q30KQ9,10
Q4G0I0,10
Q4G0N0,28
Q53RT3,10
Q7Z429,11
Q7Z4M0,11
Q86VX2,13
Q8IUE1,10
Q8IUN9,10
Q8N3J6,10
Q8N5C8,11
Q8N5T2,11
Q8N6G6,10
Q8N8A2,31
Q8N8I0,10
Q8N9K5,19
Q8NDZ6,11
Q8NFV4,6
Q8NFZ6,10
Q8NGC0,10
Q8TDF6,10
Q8TE58,8
Q8WW62,10
Q8WWU7,10
Q8WXE9,11
Q92506,6
Q96DB9,11
Q96FQ6,10
Q96G91,10
Q96K30,23
Q96S21,10
Q96T68,9
Q9BQ69,10
Q9BQL6,10
Q9BSA4,9
Q9BW19,10
Q9BXM9,16
Q9BYT8,11
Q9H3V2,21
Q9H5X1,10
Q9NV56,10
Q9NX47,10
Q9NZC9,6
Q9NZV5,10
Q9P1J3,11
Q9UBQ6,10
Q9UK41,10
Q9UKJ1,10
Q9UKJ3,10
Q9UL46,10
Q9UPQ3,10
Q9UQ88,6
Q9Y5B0,10
Q9Y6B7,10
A0A0J9YVY3,10
A0A0J9YWU9,10
A0A8Q3WKH5,10
A6NEN9,11
A6NMA1,28
O00115,10
O15260,11
O43805,16
O60359,9
O60393,8
O60507,8
O75190,22
O75478,10
O75822,11
P01563,10
P02808,12
P09914,6
P0C0E4,7
P0C671,24
P13535,9
P24864,11
P27449,11
P35236,14
P43088,10
P46926,10
P48201,10
P49748,11
P51815,10
P52743,6
P55210,10
P55290,10
P59103,10
P59990,2
P62312,10
P63313,11
P68431,10
P86397,10
P98066,10
Q03113,10
Q12873,8
Q13506,11
Q14190,10
Q14689,6
Q3SY05,12
Q5MCW4,16
Q5TCS8,10
Q5W0V3,10
Q643R3,8
Q6N021,10
Q6P1M3,10
Q6ZSI9,10
Q86SE8,10
Q86SG7,10
Q86SQ4,10
Q86VR7,10
Q8IW19,10
Q8N339,22
Q8NEP3,14
Q8NFZ4,10
Q8TEE9,12
Q8WUF5,6
Q92466,14
Q969N2,10
Q96AP0,11
Q96G04,10
Q96G23,10
Q96RP7,15
Q96S44,7
Q99697,8
Q99999,8
Q9BTD3,11
Q9BWV3,10
Q9BY32,10
Q9BYD2,10
Q9BZV2,10
Q9GZZ7,10
Q9H081,10
Q9H114,10
Q9H4R4,10
Q9H7X3,6
Q9H871,10
Q9H8H0,11
Q9NPC8,8
Q9NPH3,16
Q9NQT5,10
Q9NX46,10
Q9NXR1,11
Q9NY64,10
Q9NYF5,10
Q9NYP9,10
Q9UJA2,11
Q9UM19,10
Q9UQC2,10
Q9Y2K7,10
Q9Y366,14
Q9Y6J6,10
Q9Y6N1,11
Q9Y6X6,10
A0A075B7D0,10
A0A0A0MS02,10
A1A4S6,16
A6NM28,6
A8MTL9,16
A8MUX0,21
B4DU55,10
C9JE40,10
O00305,10
O14818,14
O14975,6
O43405,10
O43761,12
O75191,10
O75764,11
O75792,10
O95180,10
O95424,15
O95551,10
O95971,10
O96018,10
P04196,10
P05204,20
P07359,15
P0CF97,6
P10124,10
P16519,10
P16671,10
P17858,8
P20908,9
P21108,10
P22004,14
P22303,11
P23511,20
P24043,10
P24592,10
P43631,10
P48059,10
P49795,10
P52306,10
P86479,29
Q12851,6
Q13724,14
Q15884,14
Q3KQZ1,10
Q3MIR4,10
Q3ZLR7,10
Q4KMG9,14
Q4U2R6,17
Q5JQC9,11
Q5T4I8,21
Q5T9C9,10
Q5VTH9,10
Q6NW34,14
Q6XZB0,11
Q6ZPD8,10
Q7Z3G6,10
Q86TI4,8
Q86V15,8
Q86XL3,10
Q8IY85,10
Q8IYV9,10
Q8N1Q8,11
Q8N3I7,10
Q8N5Y2,10
Q8N6L7,14
Q8NGS3,10
Q8TCC3,10
Q8WV22,11
Q92674,11
Q93098,10
Q96B18,14
Q96BD0,10
Q96BH1,14
Q96CT7,12
Q96DD0,6
Q96GE5,16
Q99788,10
Q9BQI6,10
Q9BV29,14
Q9BY43,17
Q9H2Y7,8
Q9H3P7,11
Q9H7D7,10
Q9H840,10
Q9HAZ2,22
Q9HD67,10
Q9NYW1,10
Q9NYW2,10
Q9P0J1,10
Q9P0R6,12
Q9P0T4,8
Q9UBB9,10
Q9UDV6,14
Q9ULW0,12
Q9UPX6,16
Q9Y2L5,11
Q9Y365,16
Q9Y584,10
Q9Y697,6
A0A0B4J2B5,10
A0A1W2PPW3,10
A0N4X5,17
A0PG75,11
O15228,10
O15353,10
O15529,10
O43303,10
O43542,10
O60299,22
O76042,14
O94822,11
O95154,10
O95471,9
O95633,10
P06732,10
P09529,10
P15559,10
P16234,6
P19532,11
P20340,10
P20848,10
P21675,13
P30041,10
P38936,11
P40313,10
P40394,10
P45381,10
P49116,10
P49790,22
P56192,16
P60468,26
P82979,12
Q01543,10
Q01995,10
Q13285,10
Q13606,10
Q14119,6
Q14493,28
Q15397,11
Q16514,10
Q2TAL8,11
Q3B726,10
Q5T7M4,10
Q5XXA6,13
Q63ZY3,10
Q68E01,9
Q6J9G0,6
Q6JVE6,10
Q6UWX4,10
Q6UWZ7,10
Q6ZS86,10
Q7L099,10
Q86VD7,10
Q8IZF6,9
Q8N307,11
Q8N392,10
Q8NBF1,6
Q8NFY9,10
Q8NH19,10
Q8NH59,10
Q8NI36,11
Q8TCA0,6
Q8TDN2,14
Q8TEY7,8
Q8WWH4,12
Q8WWL2,11
Q92574,10
Q969G3,10
Q96A37,7
Q96B36,12
Q96B77,10
Q96BZ8,17
Q96DV4,10
Q96J88,11
Q99607,10
Q9BPX3,11
Q9BQS6,10
Q9BXI9,10
Q9BZM3,8
Q9H091,10
Q9H2F9,21
Q9HB07,10
Q9HC57,20
Q9NQV5,22
Q9NSC7,10
Q9NVH2,13
Q9NZM6,10
Q9UBD9,10
Q9UG22,10
Q9UGP5,10
Q9UIA9,9
Q9UIC8,10
Q9UKE5,6
Q9UQR1,6
Q9Y3I0,10
Q9Y4G6,11
Q9Y5B8,10
Q9Y5E9,10
Q9Y692,11
A0A1W2PR82,31
A0A1Y8EI39,14
A0A8V8TPE2,10
A6NHZ5,10
A8MXK1,10
B1AKI9,9
E5RIL1,10
G3V523,14
O14815,10
O15130,10
O43257,10
O43815,10
O75131,10
O75373,18
O75425,9
O95045,10
O95456,10
P06331,10
P07196,11
P0CJ73,20
P0DQD5,10
P0DQW1,1
P11166,10
P11279,10
P14866,10
P15336,11
P15692,10
P19397,10
P19429,11
P20719,8
P23526,10
P28300,10
P30279,11
P30530,6
P40425,8
P49642,10
P52735,10
P52739,10
P56975,10
P60328,2
P63162,10
P63252,14
P81277,10
Q12767,10
Q13113,10
Q13356,10
Q13522,11
Q13595,10
Q15532,13
Q16609,10
Q16842,10
Q5SYB0,10
Q5T4W7,10
Q5T7P2,12
Q6P5S2,12
Q6RFH5,10
Q6SZW1,10
Q6VUC0,29
Q709C8,10
Q7L592,10
Q7L7V1,10
Q7Z692,10
Q7Z7A3,10
Q86X76,10
Q8N0Z9,10
Q8N4V1,20
Q8NGJ1,10
Q8NGZ3,10
Q8TDW5,10
Q92613,10
Q969U6,5
Q96C19,10
Q96D46,10
Q96EK5,10
Q96PN8,6
Q96T51,14
Q99500,10
Q99640,6
Q99973,5
Q9BPV8,10
Q9BZW7,27
Q9C0E8,10
Q9H0I2,11
Q9H1K4,10
Q9H1U4,6
Q9H1X1,11
Q9H1Z4,10
Q9H322,20
Q9HD34,10
Q9NSA0,10
Q9NX09,16
Q9NYW3,10
Q9NZH5,11
Q9P255,2
Q9QC07,9
Q9UDY8,10
Q9UM07,10
Q9Y266,10
Q9Y277,18
A0A494C1R9,10
A0A584,10
A2RU48,26
A4D1E1,8
A6NMD2,20
B4DZS4,11
O00757,10
O14936,6
O15321,10
O43278,10
O43345,14
O60524,10
O75367,10
O95067,11
O95382,6
P04066,10
P05014,10
P08294,10
P09629,8
P0DMQ9,21
P0DUX0,11
P11217,10
P16066,6
P16383,11
P19404,10
P20138,10
P20382,10
P29966,11
P32297,10
P40145,9
P46459,10
P47895,6
P51153,10
P54252,16
Q03936,16
Q13156,11
Q13492,10
Q13520,10
Q13875,13
Q14213,10
Q15392,11
Q18PE1,10
Q56A73,12
Q5GH72,11
Q5JUK9,15
Q5JVX7,21
Q5SVJ3,12
Q5VYJ5,19
Q6Q788,26
Q6UWP2,10
Q6V702,16
Q6ZQV5,15
Q6ZR37,10
Q70Z44,9
Q76M96,10
Q7RTU3,10
Q86TV6,11
Q86UP9,9
Q86UW7,10
Q86UW8,10
Q8J025,10
Q8N7S2,10
Q8N819,10
Q8N859,6
Q8NBR6,10
Q8WUA4,11
Q8WWV3,11
Q92537,10
Q969H4,10
Q969S0,11
Q96EK7,10
Q96ER3,10
Q96HZ4,10
Q96KT0,14
Q96MK2,10
Q96MX0,10
Q9BTV4,12
Q9BUQ8,10
Q9BVV6,10
Q9BWJ2,29
Q9C029,16
Q9H0R8,11
Q9H1L0,10
Q9H2U9,8
Q9H6B4,10
Q9HCG8,10
Q9NSC2,8
Q9NT68,10
Q9P0K9,10
Q9P2M7,11
Q9UF02,9
Q9UI32,11
Q9UJ90,10
Q9UJU2,11
Q9UK17,14
Q9Y283,10
Q9Y3R4,5
Q9Y4A8,11
Q9Y616,6
A0A1B0GX49,10
A0A1W2PS18,11
A0A8I5KPI3,2
A6NCV1,10
A6NF89,10
A6NJZ3,10
A8MTZ7,8
A8MY62,10
E9PQ53,9
O00175,10
O43174,11
O43255,10
O43361,5
O60244,11
O60942,10
O75154,7
O75691,26
P01834,10
P05412,11
P07738,10
P09038,10
P10643,6
P10720,10
P13056,10
P18054,14
P20061,10
P35900,10
P38432,13
P38484,10
P39880,10
P41091,6
P41145,10
P49137,6
